D,p,dKthr,A
2.534882e-09,1.1872286,7.21494,71.85325
3.3487901e-09,1.1726772,7.4272547,74.05617
2.8624798e-09,1.2115247,7.8396754,77.39107
2.2593079e-09,1.1662972,6.7910175,74.76452
2.5025158e-09,1.0949671,7.576941,79.06334
2.552411e-09,1.1059331,6.4602594,72.91072
2.4912006e-09,1.2025653,7.8137307,76.37676
2.487751e-09,1.1949477,7.258508,76.170364
1.0895435e-09,1.2119246,7.6463413,72.69502
1.6048891e-09,1.1529264,7.8858466,74.366264
1.9598563e-09,1.1957276,7.491733,72.88603
3.1935623e-09,1.2306871,7.306054,76.13588
1.2062e-09,1.0619754,6.6550117,71.38994
3.0292795e-09,1.2564079,7.2969127,70.22204
1.8490276e-09,1.2195193,6.9611735,73.69638
2.1510265e-09,1.2321641,7.547279,74.06185
2.118267e-09,1.202523,6.7414074,74.90791
2.4041702e-09,1.163832,7.2442575,72.01926
2.314903e-09,1.2374238,6.9828906,73.96097
1.1394985e-09,1.1177783,7.502195,72.20004
1.6138582e-09,1.2381746,7.112716,73.98095
1.2758757e-09,1.2598431,7.130063,75.351906
2.3122153e-09,1.2657652,7.0299287,72.09134
2.5594145e-09,1.273638,7.4951305,75.01081
2.479718e-09,1.232533,7.2958736,71.80253
1.6565843e-09,1.1536275,7.297951,73.308205
1.5590795e-09,1.233363,6.611865,75.68788
4.9850204e-09,1.1641836,6.661136,74.862076
1.0791313e-09,1.2255566,7.195827,71.35589
1.2707391e-09,1.2017422,7.4936676,76.333954
2.5064735e-09,1.238606,7.4389124,74.813545
2.4241291e-09,1.221757,6.9967575,72.91541
3.382628e-09,1.2099606,7.87531,74.31782
1.4661712e-09,1.2289355,7.2966843,76.68436
7.7637696e-10,1.223245,7.520494,76.751236
1.3815615e-09,1.2050878,8.395059,73.47157
1.8407845e-09,1.1769837,8.012326,73.71049
3.8064703e-09,1.1421802,7.4819517,72.70375
1.5873203e-09,1.2273884,7.466237,75.04424
2.8716813e-09,1.2440723,7.1823773,70.97465
1.5286867e-09,1.1959649,6.861047,76.077545
1.4840666e-09,1.1434823,7.5345798,72.46608
1.3270963e-09,1.1852405,7.198114,75.16735
4.1268153e-09,1.1753057,6.909994,75.482994
3.025323e-09,1.2187499,7.179276,77.33488
3.1738652e-09,1.2427893,6.705102,72.97862
1.517457e-09,1.15213,7.2962284,77.07739
2.6821707e-09,1.1346965,6.7390113,72.75209
3.8080046e-09,1.202893,6.9277024,75.89488
2.4396534e-09,1.1836262,7.5237455,70.119064
2.7747198e-09,1.2035946,8.114691,75.76735
1.51639e-09,1.1918775,7.5694656,76.702866
1.6232444e-09,1.2062085,6.867427,73.44831
1.3842009e-09,1.1827246,7.1223326,75.20116
1.1004632e-09,1.2067273,7.580829,73.36549
2.1975493e-09,1.228759,6.9296694,77.1154
2.0986712e-09,1.2008835,7.320038,72.1462
6.438193e-10,1.272487,7.2138586,72.40004
1.8177635e-09,1.1673489,6.648747,74.342186
1.9561457e-09,1.2038542,7.189927,73.42067
2.2549533e-09,1.2969035,7.1406627,73.41459
3.1406489e-09,1.2102375,7.5476384,77.147835
2.1178452e-09,1.1689247,6.649772,73.30857
1.9899382e-09,1.1988989,7.2729826,72.332756
1.7083034e-09,1.2234741,7.159643,71.931305
3.2280243e-09,1.2367425,7.2058754,75.63032
1.7395797e-09,1.2315613,7.5049143,77.586
3.7783296e-09,1.1620425,7.685335,74.99797
2.5909652e-09,1.1728922,7.467068,73.552
1.8429661e-09,1.2728918,6.482467,74.90415
2.0973348e-09,1.2336975,6.989855,72.4972
1.5635859e-09,1.2368282,7.8242807,74.29915
6.9940614e-10,1.2507957,7.8417315,75.131004
2.2786975e-09,1.2171935,7.8376756,75.35696
1.7469058e-09,1.2241532,6.4180117,71.4416
8.782924e-10,1.1982874,7.096145,71.030205
2.33601e-09,1.1883886,6.6750026,76.6944
1.5352495e-09,1.2193553,7.955377,76.606384
2.0339381e-09,1.1657963,6.236739,78.17621
1.0138673e-09,1.1546425,7.213407,78.62954
1.9004065e-09,1.1927018,7.93656,78.01525
1.7514986e-09,1.1688374,7.217172,74.04947
2.115884e-09,1.2170511,7.31853,73.665016
3.761029e-09,1.2328933,7.010742,74.27627
3.4434053e-09,1.1679134,7.5179048,75.101746
9.961533e-10,1.2167065,6.802578,74.78977
1.3440669e-09,1.2279137,7.008627,73.169586
2.0544306e-09,1.2171239,7.514676,69.36656
8.244299e-10,1.1168724,7.1629715,75.08651
1.6737167e-09,1.153987,7.2350407,73.966354
3.1219842e-09,1.2009897,7.1061983,73.80834
1.7838033e-09,1.1589558,7.6831875,73.825554
2.0669133e-09,1.1348115,6.868229,77.546585
1.819551e-09,1.2898489,7.7761655,73.87618
1.2803394e-09,1.1708367,6.5147877,71.720856
2.1140008e-09,1.2647697,7.0215645,74.89273
3.4110001e-09,1.2390782,7.1166506,72.27121
3.0154577e-09,1.2124892,8.28911,74.246605
1.5716862e-09,1.1968406,6.696272,74.68049
3.9916985e-09,1.3310546,7.896525,75.429276
4.088541e-09,1.3066593,7.017999,73.9991
3.4506533e-09,1.116709,8.02906,72.51079
2.5411298e-09,1.0889655,7.5537353,72.987625
4.004696e-09,1.2024562,7.981226,75.22717
1.4959699e-09,1.2060312,6.9774446,74.08874
1.9073192e-09,1.2221427,6.148169,73.60663
1.3171181e-09,1.1927392,7.6445017,76.2089
1.0530552e-09,1.2260685,7.963772,73.92107
2.3000215e-09,1.1711539,7.3590236,75.490265
1.7114531e-09,1.2441696,7.5026364,73.25998
1.994412e-09,1.1243219,7.686904,70.97632
3.8797534e-09,1.2380178,7.0682397,73.9855
1.9579174e-09,1.1989502,7.2653074,71.38285
2.4445104e-09,1.2198358,7.13454,73.56755
1.6936076e-09,1.1550149,6.541044,73.84411
2.176926e-09,1.2339514,6.8419285,76.73958
2.3237063e-09,1.2089598,7.894949,72.51758
1.8864739e-09,1.2457997,7.4724684,77.00027
2.096412e-09,1.2576901,8.095273,72.99721
2.141045e-09,1.1878781,7.3170123,73.83648
2.1606232e-09,1.1468508,7.145152,77.9326
7.7222495e-09,1.2039118,7.0229206,72.428116
1.854597e-09,1.2426355,7.6752152,75.22942
2.903747e-09,1.2112573,6.9877114,73.944466
2.4140476e-09,1.1062267,7.3531647,75.2793
3.73357e-09,1.1498271,7.0354533,73.1983
1.0305958e-09,1.1759255,7.1700315,76.04509
9.586788e-10,1.2535299,7.542314,70.257095
2.3723392e-09,1.1997051,7.6445956,74.178024
2.089134e-09,1.1266118,6.5220423,77.262665
1.9216544e-09,1.2103318,7.515785,70.77434
2.6698157e-09,1.1333199,7.387909,72.39776
1.2187055e-09,1.3341664,7.0148573,71.178505
1.2792769e-09,1.1874098,7.741155,76.69178
2.5216458e-09,1.1571934,6.439881,70.23073
1.6748858e-09,1.2572373,6.2483087,70.80152
3.2360248e-09,1.2239884,6.7810946,74.08255
1.0921972e-09,1.109754,6.9897213,73.38091
2.1036015e-09,1.2183458,8.2055025,73.39007
1.4737082e-09,1.1923743,7.880779,73.93692
3.562873e-09,1.1271482,7.9607034,72.76478
2.2750113e-09,1.1253424,7.318644,76.10772
1.6099403e-09,1.2100363,7.210263,77.10319
9.73709e-10,1.2540449,7.2924986,71.69988
