0,1.5,1.5,1.5
10000,1.518847677,1.60368824,1.696182145
20000,1.959057069,1.96894991,1.935432748
30000,2.369344692,2.37636447,2.310291017
40000,2.874482362,2.82644868,2.88450177
50000,3.299432628,3.31967711,3.277303492
60000,3.855604063,3.85648847,3.806374973
70000,4.42492709,4.43729305,4.346597843
80000,5.058333274,5.06247759,5.058277137
90000,5.667578247,5.73240423,5.821261322
100000,6.49835513,6.44741583,6.519598285
110000,7.108289753,7.20784616,7.221642172
120000,8.10058463,8.01399803,8.107554723
130000,8.771393585,8.86617,8.877575175
140000,9.80062707,9.76464844,9.759828486
150000,10.64075896,10.7097254,10.80803745
160000,11.74495578,11.7016354,11.79693772
170000,12.66332501,12.7406483,12.73060155
180000,13.90698646,13.827013,13.7459213
190000,15.04636668,14.9609718,15.00895479
200000,16.21278198,16.1427345,16.21890851
210000,17.45301688,17.3725376,17.39568654
220000,18.72091909,18.6506081,18.69702504
230000,20.01489079,19.9771442,19.9606175
240000,21.44154852,21.3523884,21.33026382
250000,22.71977853,22.7764759,22.79953057
260000,24.24283458,24.2496548,24.19237962
270000,25.73657319,25.7720699,25.75259788
280000,27.37198828,27.3439617,27.4357468
290000,28.90052444,28.9655018,28.93683508
300000,30.64255489,30.6368122,30.73226848
310000,32.32908744,32.35812,32.35124255
320000,34.06570288,34.1296272,34.06573393
330000,35.97201949,35.9513741,35.94916889
340000,37.87104816,37.8236542,37.85969703
350000,39.65797725,39.7465858,39.69501899
360000,41.79300051,41.7204056,41.76279284
370000,43.69324284,43.7450066,43.83390326
380000,45.72862802,45.8208733,45.75521869
390000,47.87284118,47.9479,48.03217523
400000,50.0691889,50.1263123,50.21068123
